region,year,total energy production,total energy production from coal,total energy production from natural gas,total energy production from petroleum and other liquids,"total energy production from nuclear, renewables and other",total energy production from nuclear,total energy production from renewables and other,CO2 emissions,coal and coke CO2 emissions,consumed natural gas CO2 emissions,petroleum and other liquids CO2 emissions,population,gdp,energy_per_gdp,energy_per_capita
Turkiye,1995,0.6201227312600499,0.4908730173083362,0.00660729524,0.0,0.1226424187117136,0.0,0.1226424187117136,158.594134352,63.773647985579096,13.538976366,81.28151,61024503.0,169319579016.25,2.6510526277096464,37.45194128123766
Turkiye,1996,0.6486805974982988,0.5023709598995834,0.00747858692,0.0,0.1388310506787153,0.0,0.1388310506787153,172.949433526,71.84500356821998,16.344753958,84.759676,61951134.0,181464408820.097,2.9740819308565167,40.29572756781007
Turkiye,1997,0.6811342035029105,0.5341551950006589,0.009193801155,0.0,0.1377852073472517,0.0,0.1377852073472517,182.534473812,80.61378541390474,19.500680398,82.420008,62852966.0,189878399894.643,2.9250813551476718,41.937383259010666
Turkiye,1998,0.7665204400764096,0.6005936942837257,0.0205116583,0.0,0.1454150874926839,0.0,0.1454150874926839,186.008780298,86.12892020658144,20.655280091,79.22458,63734383.0,275941990764.18,2.956375409718657,42.59766268920258
Turkiye,1999,0.7429037307138721,0.5975186631256014,0.02653809242,0.0,0.1188469751682705,0.0,0.1188469751682705,186.580097646,81.30687056702888,24.506507079,80.76672,64591923.0,256395932738.435,3.0323727107959098,41.79648253897555
Turkiye,2000,0.6935704305534536,0.5639161487310265,0.02319814098,0.0,0.1064561408424271,0.0,0.1064561408424271,207.174949731,92.43622083850111,29.074911892,85.663817,65425961.0,274294623164.043,3.113320014798182,45.324510988040366
Turkiye,2001,0.6483735976867399,0.5534788690609874,0.01132679184,0.0,0.0835679367857524,0.0,0.0835679367857524,188.39931061,77.37832070137631,31.278299909,79.74269,66245128.0,201753123806.695,3.0392320212885746,41.3130951141571
Turkiye,2002,0.610556029723454,0.4811666146092136,0.01372284396,0.0,0.1156665711542403,0.0,0.1156665711542403,198.307005451,78.31492382919059,34.470478622,85.521603,67048795.0,240249071871.106,3.05356110099562,43.6495539956044
Turkiye,2003,0.6726740952257919,0.4328485163246007,0.0203301392,0.0987764798295081,0.1207189598716831,0.0,0.1207189598716831,209.089188199,83.36730719088595,41.472663008,84.249218,67831730.0,314595572145.767,3.0445476658038406,45.51305383971108
Turkiye,2004,0.6899356637444094,0.4133644058560222,0.02497702816,0.0945754961049179,0.1570187336234692,0.0,0.1570187336234692,212.795779822,83.71110847843764,43.775469344,85.309202,68592617.0,408865430220.331,2.868383159287866,46.61268682035487
Turkiye,2005,0.7826857207479285,0.519992225405704,0.03256452654,0.0948801623081966,0.1352488064940278,0.0,0.1352488064940278,233.299198814,96.07867090759576,53.292837906,83.92769,69329557.0,506314717661.655,2.8485435423215284,49.97116547548092
Turkiye,2006,0.8483506770209643,0.5727134117833993,0.0328549571,0.0907391293770491,0.1520431787605159,0.0,0.1520431787605159,250.944958722,107.16702191359992,60.764566808,83.01337,70045349.0,557076157773.479,2.9071185518582703,54.045165398421446
